weather_date,zip_code,city,state,precipitation_mm,max_wind_kmh,max_temp_c,min_temp_c,weather_code,severity
2025-01-01,43215,Columbus,OH,1.1,50.8,2.8,-1.3,73,moderate
2025-01-01,46204,Indianapolis,IN,0.2,56.2,1.9,-0.8,71,moderate
2025-01-01,60601,Chicago,IL,0.1,52.9,0.8,-3.0,71,moderate
2025-01-02,43215,Columbus,OH,0.0,46.8,1.8,-2.3,3,moderate
2025-01-02,46204,Indianapolis,IN,0.3,35.3,3.2,-2.7,71,calm
2025-01-02,60601,Chicago,IL,0.2,40.0,-0.3,-4.2,71,calm
2025-01-03,43215,Columbus,OH,2.4,51.8,0.4,-5.6,73,moderate
2025-01-03,46204,Indianapolis,IN,1.1,44.6,0.9,-6.3,73,moderate
2025-01-03,60601,Chicago,IL,0.0,49.3,-3.0,-6.9,3,moderate
2025-01-04,43215,Columbus,OH,0.1,40.7,-5.9,-10.6,71,moderate
2025-01-04,46204,Indianapolis,IN,0.0,38.2,-3.7,-9.4,3,calm
2025-01-04,60601,Chicago,IL,0.0,36.7,-5.1,-10.9,3,calm
2025-01-05,43215,Columbus,OH,2.9,23.0,-4.4,-12.0,73,calm
2025-01-05,46204,Indianapolis,IN,7.0,39.6,-4.8,-6.9,73,calm
2025-01-05,60601,Chicago,IL,0.4,43.2,-2.3,-9.0,71,moderate
2025-01-06,43215,Columbus,OH,7.7,54.7,-2.4,-6.4,75,moderate
2025-01-06,46204,Indianapolis,IN,3.3,54.4,-4.0,-6.2,73,moderate
2025-01-06,60601,Chicago,IL,3.2,66.2,-0.9,-4.1,73,severe
2025-01-07,43215,Columbus,OH,0.0,36.0,-4.5,-10.2,3,calm
2025-01-07,46204,Indianapolis,IN,0.0,23.0,-4.0,-11.6,3,calm
2025-01-07,60601,Chicago,IL,0.0,36.0,-4.1,-8.6,3,calm
2025-01-08,43215,Columbus,OH,0.7,30.2,-4.7,-7.8,71,calm
2025-01-08,46204,Indianapolis,IN,0.0,21.2,-6.7,-11.8,3,calm
2025-01-08,60601,Chicago,IL,0.0,25.9,-4.1,-10.2,3,calm
2025-01-09,43215,Columbus,OH,0.0,22.0,-5.9,-13.1,2,calm
2025-01-09,46204,Indianapolis,IN,0.0,16.9,-10.1,-18.0,3,extreme_cold
2025-01-09,60601,Chicago,IL,0.0,38.5,-3.8,-11.6,3,calm
2025-01-10,43215,Columbus,OH,3.2,19.4,-5.8,-14.8,73,calm
2025-01-10,46204,Indianapolis,IN,7.0,22.3,-4.6,-13.4,73,calm
